title,author,date,image_url,article_id,link
Tumbler Ridge suspect's ChatGPT account banned before shooting,Ottilie Mitchell,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a351/live/7d4bfed0-0ee8-11f1-8f36-05719114a367.jpg.webp,cn4gq352w89o,https://www.bbc.com/news/articles/cn4gq352w89o
'Breweries using AI could put artists out of work',Evie Lake,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a1a9/live/38bc7360-0d82-11f1-a355-f9c151a9e8be.jpg.webp,c20jlj26198o,https://www.bbc.com/news/articles/c20jlj26198o
Is £70 becoming harder to justify? The rise of cheaper blockbuster games,Laura Cress,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/7269/live/7a773460-0e6e-11f1-a7d2-13765adb9f56.jpg.webp,ckg1nwwv1xyo,https://www.bbc.com/news/articles/ckg1nwwv1xyo
"Urgent research needed to tackle AI threats, says Google AI boss","Zoe Kleinman,",2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/b0dc/live/a64b48c0-0e45-11f1-8705-e59653a64488.jpg.webp,c0q3g0ln274o,https://www.bbc.com/news/articles/c0q3g0ln274o
UK doctor stuck in India after police case over Facebook post,Alpesh Karkare,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/36d6/live/c76ad1d0-f692-11f0-a096-99c1f7341c2b.jpg.webp,c5ydjd6ep73o,https://www.bbc.com/news/articles/c5ydjd6ep73o
AI and coding firm's 'pride' at business award,Chloe Hughes,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/ce11/live/fb079bd0-0da9-11f1-9fe5-57999fe11004.jpg.webp,cx2l5kp6n02o,https://www.bbc.com/news/articles/cx2l5kp6n02o
"Starmer 'appeasing' big tech firms, says online safety campaigner",Becky Morton,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/f4ee/live/3e49a150-0d9f-11f1-8168-03d32f3820eb.jpg.webp,cdr2gm4y4ygo,https://www.bbc.com/news/articles/cdr2gm4y4ygo
Microsoft error sees confidential emails exposed to AI tool Copilot,Liv McMahon,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/15d9/live/12013a90-0db8-11f1-a954-b3152d2d59e8.jpg.webp,c8jxevd8mdyo,https://www.bbc.com/news/articles/c8jxevd8mdyo
Bill Gates pulls out of India's AI summit over Epstein files controversy,Cherylann Mollan,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/1a97/live/efd25a30-0d49-11f1-8a17-c3bd2e006216.jpg.webp,c309qv9zglno,https://www.bbc.com/news/articles/c309qv9zglno
Zuckerberg defends Meta in landmark social media addiction trial,"Kali Hays,",2026-02-19,no image found,c5y42znjnjvo,https://www.bbc.com/news/articles/c5y42znjnjvo
Tech firms will have 48 hours to remove abusive images under new law,Richard Morris,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/fbed/live/4211c060-0cf0-11f1-a015-553217367293.jpg.webp,cz6ed1549yvo,https://www.bbc.com/news/articles/cz6ed1549yvo
Parents angered by lack of online safety strategy,Chris Craddock,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/eaa3/live/fe668250-0cb9-11f1-b2bd-6154c58a2dc8.jpg.webp,cpv7xen99zdo,https://www.bbc.com/news/articles/cpv7xen99zdo
Call of Duty advert banned for trivialising sexual violence,Laura Cress,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/9511/live/d4e5d6d0-0cc1-11f1-b7e1-afb6d0884c18.jpg.webp,czd831elpz5o,https://www.bbc.com/news/articles/czd831elpz5o
Indian university faces backlash for claiming Chinese robodog as own at AI summit,Cherylann Mollan,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/2185/live/893b3a10-0cb5-11f1-86b4-33cb5141efc0.jpg.webp,cge8nd5ve00o,https://www.bbc.com/news/articles/cge8nd5ve00o
Social media suspended in Gabon for 'spreading of false information',Wycliffe Muia,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/1fd2/live/18f3be00-0c9a-11f1-ab92-c5c4ffbfd0e0.jpg.webp,cx2rg2vndk1o,https://www.bbc.com/news/articles/cx2rg2vndk1o
Tumbler Ridge suspect's ChatGPT account banned before shooting,Ottilie Mitchell,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a351/live/7d4bfed0-0ee8-11f1-8f36-05719114a367.jpg.webp,cn4gq352w89o,https://www.bbc.com/news/articles/cn4gq352w89o
'Breweries using AI could put artists out of work',Evie Lake,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a1a9/live/38bc7360-0d82-11f1-a355-f9c151a9e8be.jpg.webp,c20jlj26198o,https://www.bbc.com/news/articles/c20jlj26198o
Is £70 becoming harder to justify? The rise of cheaper blockbuster games,Laura Cress,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/7269/live/7a773460-0e6e-11f1-a7d2-13765adb9f56.jpg.webp,ckg1nwwv1xyo,https://www.bbc.com/news/articles/ckg1nwwv1xyo
"Urgent research needed to tackle AI threats, says Google AI boss","Zoe Kleinman,",2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/b0dc/live/a64b48c0-0e45-11f1-8705-e59653a64488.jpg.webp,c0q3g0ln274o,https://www.bbc.com/news/articles/c0q3g0ln274o
UK doctor stuck in India after police case over Facebook post,Alpesh Karkare,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/36d6/live/c76ad1d0-f692-11f0-a096-99c1f7341c2b.jpg.webp,c5ydjd6ep73o,https://www.bbc.com/news/articles/c5ydjd6ep73o
AI and coding firm's 'pride' at business award,Chloe Hughes,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/ce11/live/fb079bd0-0da9-11f1-9fe5-57999fe11004.jpg.webp,cx2l5kp6n02o,https://www.bbc.com/news/articles/cx2l5kp6n02o
"Starmer 'appeasing' big tech firms, says online safety campaigner",Becky Morton,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/f4ee/live/3e49a150-0d9f-11f1-8168-03d32f3820eb.jpg.webp,cdr2gm4y4ygo,https://www.bbc.com/news/articles/cdr2gm4y4ygo
Microsoft error sees confidential emails exposed to AI tool Copilot,Liv McMahon,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/15d9/live/12013a90-0db8-11f1-a954-b3152d2d59e8.jpg.webp,c8jxevd8mdyo,https://www.bbc.com/news/articles/c8jxevd8mdyo
Bill Gates pulls out of India's AI summit over Epstein files controversy,Cherylann Mollan,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/1a97/live/efd25a30-0d49-11f1-8a17-c3bd2e006216.jpg.webp,c309qv9zglno,https://www.bbc.com/news/articles/c309qv9zglno
Zuckerberg defends Meta in landmark social media addiction trial,"Kali Hays,",2026-02-19,no image found,c5y42znjnjvo,https://www.bbc.com/news/articles/c5y42znjnjvo
Tech firms will have 48 hours to remove abusive images under new law,Richard Morris,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/fbed/live/4211c060-0cf0-11f1-a015-553217367293.jpg.webp,cz6ed1549yvo,https://www.bbc.com/news/articles/cz6ed1549yvo
Parents angered by lack of online safety strategy,Chris Craddock,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/eaa3/live/fe668250-0cb9-11f1-b2bd-6154c58a2dc8.jpg.webp,cpv7xen99zdo,https://www.bbc.com/news/articles/cpv7xen99zdo
Call of Duty advert banned for trivialising sexual violence,Laura Cress,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/9511/live/d4e5d6d0-0cc1-11f1-b7e1-afb6d0884c18.jpg.webp,czd831elpz5o,https://www.bbc.com/news/articles/czd831elpz5o
Indian university faces backlash for claiming Chinese robodog as own at AI summit,Cherylann Mollan,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/2185/live/893b3a10-0cb5-11f1-86b4-33cb5141efc0.jpg.webp,cge8nd5ve00o,https://www.bbc.com/news/articles/cge8nd5ve00o
Social media suspended in Gabon for 'spreading of false information',Wycliffe Muia,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/1fd2/live/18f3be00-0c9a-11f1-ab92-c5c4ffbfd0e0.jpg.webp,cx2rg2vndk1o,https://www.bbc.com/news/articles/cx2rg2vndk1o
Tumbler Ridge suspect's ChatGPT account banned before shooting,Ottilie Mitchell,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a351/live/7d4bfed0-0ee8-11f1-8f36-05719114a367.jpg.webp,cn4gq352w89o,https://www.bbc.com/news/articles/cn4gq352w89o
'Breweries using AI could put artists out of work',Evie Lake,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a1a9/live/38bc7360-0d82-11f1-a355-f9c151a9e8be.jpg.webp,c20jlj26198o,https://www.bbc.com/news/articles/c20jlj26198o
Is £70 becoming harder to justify? The rise of cheaper blockbuster games,Laura Cress,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/7269/live/7a773460-0e6e-11f1-a7d2-13765adb9f56.jpg.webp,ckg1nwwv1xyo,https://www.bbc.com/news/articles/ckg1nwwv1xyo
"Urgent research needed to tackle AI threats, says Google AI boss","Zoe Kleinman,",2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/b0dc/live/a64b48c0-0e45-11f1-8705-e59653a64488.jpg.webp,c0q3g0ln274o,https://www.bbc.com/news/articles/c0q3g0ln274o
UK doctor stuck in India after police case over Facebook post,Alpesh Karkare,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/36d6/live/c76ad1d0-f692-11f0-a096-99c1f7341c2b.jpg.webp,c5ydjd6ep73o,https://www.bbc.com/news/articles/c5ydjd6ep73o
AI and coding firm's 'pride' at business award,Chloe Hughes,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/ce11/live/fb079bd0-0da9-11f1-9fe5-57999fe11004.jpg.webp,cx2l5kp6n02o,https://www.bbc.com/news/articles/cx2l5kp6n02o
"Starmer 'appeasing' big tech firms, says online safety campaigner",Becky Morton,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/f4ee/live/3e49a150-0d9f-11f1-8168-03d32f3820eb.jpg.webp,cdr2gm4y4ygo,https://www.bbc.com/news/articles/cdr2gm4y4ygo
Microsoft error sees confidential emails exposed to AI tool Copilot,Liv McMahon,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/15d9/live/12013a90-0db8-11f1-a954-b3152d2d59e8.jpg.webp,c8jxevd8mdyo,https://www.bbc.com/news/articles/c8jxevd8mdyo
Bill Gates pulls out of India's AI summit over Epstein files controversy,Cherylann Mollan,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/1a97/live/efd25a30-0d49-11f1-8a17-c3bd2e006216.jpg.webp,c309qv9zglno,https://www.bbc.com/news/articles/c309qv9zglno
Zuckerberg defends Meta in landmark social media addiction trial,"Kali Hays,",2026-02-19,no image found,c5y42znjnjvo,https://www.bbc.com/news/articles/c5y42znjnjvo
Tech firms will have 48 hours to remove abusive images under new law,Richard Morris,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/fbed/live/4211c060-0cf0-11f1-a015-553217367293.jpg.webp,cz6ed1549yvo,https://www.bbc.com/news/articles/cz6ed1549yvo
Parents angered by lack of online safety strategy,Chris Craddock,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/eaa3/live/fe668250-0cb9-11f1-b2bd-6154c58a2dc8.jpg.webp,cpv7xen99zdo,https://www.bbc.com/news/articles/cpv7xen99zdo
Call of Duty advert banned for trivialising sexual violence,Laura Cress,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/9511/live/d4e5d6d0-0cc1-11f1-b7e1-afb6d0884c18.jpg.webp,czd831elpz5o,https://www.bbc.com/news/articles/czd831elpz5o
Indian university faces backlash for claiming Chinese robodog as own at AI summit,Cherylann Mollan,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/2185/live/893b3a10-0cb5-11f1-86b4-33cb5141efc0.jpg.webp,cge8nd5ve00o,https://www.bbc.com/news/articles/cge8nd5ve00o
Social media suspended in Gabon for 'spreading of false information',Wycliffe Muia,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/1fd2/live/18f3be00-0c9a-11f1-ab92-c5c4ffbfd0e0.jpg.webp,cx2rg2vndk1o,https://www.bbc.com/news/articles/cx2rg2vndk1o
Tumbler Ridge suspect's ChatGPT account banned before shooting,Ottilie Mitchell,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a351/live/7d4bfed0-0ee8-11f1-8f36-05719114a367.jpg.webp,cn4gq352w89o,https://www.bbc.com/news/articles/cn4gq352w89o
'Breweries using AI could put artists out of work',Evie Lake,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a1a9/live/38bc7360-0d82-11f1-a355-f9c151a9e8be.jpg.webp,c20jlj26198o,https://www.bbc.com/news/articles/c20jlj26198o
Is £70 becoming harder to justify? The rise of cheaper blockbuster games,Laura Cress,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/7269/live/7a773460-0e6e-11f1-a7d2-13765adb9f56.jpg.webp,ckg1nwwv1xyo,https://www.bbc.com/news/articles/ckg1nwwv1xyo
"Urgent research needed to tackle AI threats, says Google AI boss","Zoe Kleinman,",2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/b0dc/live/a64b48c0-0e45-11f1-8705-e59653a64488.jpg.webp,c0q3g0ln274o,https://www.bbc.com/news/articles/c0q3g0ln274o
UK doctor stuck in India after police case over Facebook post,Alpesh Karkare,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/36d6/live/c76ad1d0-f692-11f0-a096-99c1f7341c2b.jpg.webp,c5ydjd6ep73o,https://www.bbc.com/news/articles/c5ydjd6ep73o
AI and coding firm's 'pride' at business award,Chloe Hughes,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/ce11/live/fb079bd0-0da9-11f1-9fe5-57999fe11004.jpg.webp,cx2l5kp6n02o,https://www.bbc.com/news/articles/cx2l5kp6n02o
"Starmer 'appeasing' big tech firms, says online safety campaigner",Becky Morton,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/f4ee/live/3e49a150-0d9f-11f1-8168-03d32f3820eb.jpg.webp,cdr2gm4y4ygo,https://www.bbc.com/news/articles/cdr2gm4y4ygo
Microsoft error sees confidential emails exposed to AI tool Copilot,Liv McMahon,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/15d9/live/12013a90-0db8-11f1-a954-b3152d2d59e8.jpg.webp,c8jxevd8mdyo,https://www.bbc.com/news/articles/c8jxevd8mdyo
Bill Gates pulls out of India's AI summit over Epstein files controversy,Cherylann Mollan,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/1a97/live/efd25a30-0d49-11f1-8a17-c3bd2e006216.jpg.webp,c309qv9zglno,https://www.bbc.com/news/articles/c309qv9zglno
Zuckerberg defends Meta in landmark social media addiction trial,"Kali Hays,",2026-02-19,no image found,c5y42znjnjvo,https://www.bbc.com/news/articles/c5y42znjnjvo
Tech firms will have 48 hours to remove abusive images under new law,Richard Morris,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/fbed/live/4211c060-0cf0-11f1-a015-553217367293.jpg.webp,cz6ed1549yvo,https://www.bbc.com/news/articles/cz6ed1549yvo
Parents angered by lack of online safety strategy,Chris Craddock,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/eaa3/live/fe668250-0cb9-11f1-b2bd-6154c58a2dc8.jpg.webp,cpv7xen99zdo,https://www.bbc.com/news/articles/cpv7xen99zdo
Call of Duty advert banned for trivialising sexual violence,Laura Cress,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/9511/live/d4e5d6d0-0cc1-11f1-b7e1-afb6d0884c18.jpg.webp,czd831elpz5o,https://www.bbc.com/news/articles/czd831elpz5o
Indian university faces backlash for claiming Chinese robodog as own at AI summit,Cherylann Mollan,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/2185/live/893b3a10-0cb5-11f1-86b4-33cb5141efc0.jpg.webp,cge8nd5ve00o,https://www.bbc.com/news/articles/cge8nd5ve00o
Social media suspended in Gabon for 'spreading of false information',Wycliffe Muia,2026-02-18,https://ichef.bbci.co.uk/news/240/cpsprodpb/1fd2/live/18f3be00-0c9a-11f1-ab92-c5c4ffbfd0e0.jpg.webp,cx2rg2vndk1o,https://www.bbc.com/news/articles/cx2rg2vndk1o
Tumbler Ridge suspect's ChatGPT account banned before shooting,Ottilie Mitchell,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a351/live/7d4bfed0-0ee8-11f1-8f36-05719114a367.jpg.webp,cn4gq352w89o,https://www.bbc.com/news/articles/cn4gq352w89o
'Breweries using AI could put artists out of work',Evie Lake,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/a1a9/live/38bc7360-0d82-11f1-a355-f9c151a9e8be.jpg.webp,c20jlj26198o,https://www.bbc.com/news/articles/c20jlj26198o
Is £70 becoming harder to justify? The rise of cheaper blockbuster games,Laura Cress,2026-02-21,https://ichef.bbci.co.uk/news/240/cpsprodpb/7269/live/7a773460-0e6e-11f1-a7d2-13765adb9f56.jpg.webp,ckg1nwwv1xyo,https://www.bbc.com/news/articles/ckg1nwwv1xyo
"Urgent research needed to tackle AI threats, says Google AI boss","Zoe Kleinman,",2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/b0dc/live/a64b48c0-0e45-11f1-8705-e59653a64488.jpg.webp,c0q3g0ln274o,https://www.bbc.com/news/articles/c0q3g0ln274o
UK doctor stuck in India after police case over Facebook post,Alpesh Karkare,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/36d6/live/c76ad1d0-f692-11f0-a096-99c1f7341c2b.jpg.webp,c5ydjd6ep73o,https://www.bbc.com/news/articles/c5ydjd6ep73o
AI and coding firm's 'pride' at business award,Chloe Hughes,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/ce11/live/fb079bd0-0da9-11f1-9fe5-57999fe11004.jpg.webp,cx2l5kp6n02o,https://www.bbc.com/news/articles/cx2l5kp6n02o
"Starmer 'appeasing' big tech firms, says online safety campaigner",Becky Morton,2026-02-20,https://ichef.bbci.co.uk/news/240/cpsprodpb/f4ee/live/3e49a150-0d9f-11f1-8168-03d32f3820eb.jpg.webp,cdr2gm4y4ygo,https://www.bbc.com/news/articles/cdr2gm4y4ygo
Microsoft error sees confidential emails exposed to AI tool Copilot,Liv McMahon,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/15d9/live/12013a90-0db8-11f1-a954-b3152d2d59e8.jpg.webp,c8jxevd8mdyo,https://www.bbc.com/news/articles/c8jxevd8mdyo
Bill Gates pulls out of India's AI summit over Epstein files controversy,Cherylann Mollan,2026-02-19,https://ichef.bbci.co.uk/news/240/cpsprodpb/1a97/live/efd25a30-0d49-11f1-8a17-c3bd2e006216.jpg.webp,c309qv9zglno,https://www.bbc.com/news/articles/c309qv9zglno
Zuckerberg defends Meta in landmark social media addiction trial,"Kali Hays,",2026-02-19,no image found,c5y42znjnjvo,https://www.bbc.com/news/articles/c5y42znjnjvo
